date,open,high,low,close,volume
2026-01-01,100.00,100.91,98.70,100.11,1200000
2026-01-02,100.20,102.07,99.13,100.68,1217387
2026-01-03,100.85,102.36,99.85,100.92,1234546
2026-01-04,101.18,102.08,99.74,101.04,1251254
2026-01-05,101.36,103.08,100.23,101.75,1267293
2026-01-06,102.13,104.14,101.19,102.67,1282456
2026-01-07,103.09,104.14,101.81,103.15,1296552
2026-01-08,103.59,104.99,102.41,103.73,1309403
2026-01-09,104.18,106.39,103.31,104.90,1320852
2026-01-10,105.34,107.05,104.08,105.96,1330765
2026-01-11,106.37,107.77,105.15,106.59,1339031
2026-01-12,106.95,109.03,106.15,107.53,1345564
2026-01-13,107.83,110.06,106.61,108.89,1350307
2026-01-14,109.12,110.95,107.86,109.86,1353228
2026-01-15,110.01,112.01,109.14,110.51,1354326
2026-01-16,110.58,112.86,109.40,111.61,1353628
2026-01-17,111.58,113.84,110.30,112.84,1351188
2026-01-18,112.73,114.99,111.79,113.51,1347087
2026-01-19,113.31,115.39,112.18,114.07,1341435
2026-01-20,113.79,115.98,112.50,115.07,1334361
2026-01-21,114.73,117.35,113.73,115.91,1326021
2026-01-22,115.52,117.53,114.44,116.14,1316589
2026-01-23,115.72,117.30,114.42,116.49,1306254
2026-01-24,116.05,118.58,114.98,117.19,1295223
2026-01-25,116.74,118.87,115.73,117.44,1283711
2026-01-26,117.01,118.11,115.71,117.21,1271941
2026-01-27,116.82,118.64,115.69,117.30,1285459
2026-01-28,116.95,119.00,116.01,117.53,1302661
2026-01-29,117.25,118.24,115.89,117.17,1319442
2026-01-30,116.96,118.22,115.40,116.57,1335581
2026-01-31,116.44,117.94,115.52,116.40,1350873
2026-02-01,116.36,117.45,114.88,116.14,1365120
2026-02-02,116.19,117.37,114.05,115.27,1378146
2026-02-03,115.41,116.91,113.67,114.48,1389790
2026-02-04,114.70,115.87,112.89,114.12,1399914
2026-02-05,114.41,115.51,112.19,113.44,1408404
2026-02-06,113.80,115.30,111.46,112.32,1415171
2026-02-07,112.73,113.98,110.38,111.56,1420154
2026-02-08,112.00,113.01,109.84,111.12,1423317
2026-02-09,111.57,113.04,109.29,110.23,1424657
2026-02-10,110.67,111.99,108.02,109.16,1424194
2026-02-11,109.58,110.49,107.34,108.64,1421981
2026-02-12,109.02,110.46,107.24,108.24,1418095
2026-02-13,108.57,109.95,106.30,107.38,1412641
2026-02-14,107.64,108.45,105.36,106.66,1405748
2026-02-15,106.84,108.24,105.46,106.53,1397567
2026-02-16,106.63,108.06,105.28,106.30,1388269
2026-02-17,106.31,107.19,104.41,105.71,1378042
2026-02-18,105.63,106.97,104.42,105.54,1367092
2026-02-19,105.37,107.32,104.42,105.85,1355631
2026-02-20,105.61,106.86,104.33,105.87,1343882
2026-02-21,105.56,107.00,104.39,105.73,1353527
2026-02-22,105.36,107.67,104.48,106.18,1370769
2026-02-23,105.77,107.97,104.51,106.89,1387618
