timestamp,label,subcarrier_1,subcarrier_2,subcarrier_3,subcarrier_4,subcarrier_5,subcarrier_6,subcarrier_7,subcarrier_8,subcarrier_9,subcarrier_10,subcarrier_11,subcarrier_12,subcarrier_13,subcarrier_14,subcarrier_15,subcarrier_16
0.0,empty,52.00000,52.23175,51.97658,52.20827,52.27106,51.91741,52.10340,52.04731,51.73735,52.02587,51.99836,51.83655,52.21920,52.14407,52.00023,52.29933
0.1,empty,52.17523,51.94324,52.14321,52.32408,51.98727,52.13285,52.15255,51.78169,51.98976,52.00534,51.76434,52.11314,52.13050,51.95439,52.28787,52.14827
0.2,empty,51.89795,52.04154,52.32546,52.03454,52.14386,52.25543,51.86440,51.98761,52.04575,51.73300,52.00903,52.09997,51.88855,52.22624,52.20740,51.95048
0.3,empty,51.92163,52.27826,52.04986,52.12193,52.33175,51.96417,52.00998,52.11628,51.75326,51.92916,52.07205,51.82174,52.12603,52.22144,51.95895,52.21858
0.4,empty,52.19719,52.03540,52.06240,52.36267,52.05706,52.03967,52.20265,51.82321,51.88755,52.06392,51.77598,52.00860,52.19692,51.93872,52.19020,52.22350
0.5,empty,52.00365,51.97246,52.33997,52.12313,52.05745,52.28338,51.92864,51.88647,52.08480,51.76967,51.89938,52.15010,51.89859,52.11725,52.27019,51.93797
0.6,empty,51.86972,52.26841,52.15184,52.04848,52.33586,52.04681,51.91651,52.13279,51.81195,51.82107,52.10169,51.85592,52.01209,52.26660,51.97129,52.10938
0.7,empty,52.16439,52.14451,52.00729,52.34291,52.15260,51.96003,52.19521,51.89948,51.78763,52.07031,51.83112,51.89642,52.22043,51.97412,52.07613,52.26779
0.8,empty,52.11324,51.93991,52.29803,52.22532,51.99696,52.25226,52.01695,51.80087,52.06678,51.84124,51.79559,52.14943,51.95371,52.00504,52.29168,51.97871
0.9,empty,51.86251,52.20754,52.25405,52.01126,52.28300,52.14090,51.85048,52.09093,51.89433,51.73175,52.07594,51.92607,51.90833,52.26294,52.03048,52.00136
1.0,empty,52.08917,52.24020,51.99598,52.27183,52.24590,51.91758,52.13172,51.98642,51.71796,52.02028,51.91063,51.80711,52.19094,52.04692,51.97667,52.26514
1.1,empty,52.19639,51.95550,52.21353,52.31140,51.98061,52.17089,52.10193,51.75472,51.99496,51.92381,51.72577,52.09513,52.03433,51.92000,52.26255,52.05792
1.2,empty,51.90427,52.11542,52.32706,52.02183,52.18878,52.21759,51.83021,52.00127,51.97349,51.68515,51.99951,52.00817,51.84258,52.20855,52.11610,51.92433
1.3,empty,51.99584,52.29524,52.03259,52.17073,52.30863,51.92387,52.02945,52.05593,51.69674,51.92590,51.98773,51.76419,52.11416,52.13251,51.91888,52.21413
1.4,empty,52.22986,52.01559,52.11206,52.35548,52.01241,52.06213,52.15627,51.75939,51.88799,51.98977,51.70763,52.00028,52.11342,51.88476,52.18911,52.15004
1.5,empty,51.98380,52.02021,52.34914,52.07646,52.08014,52.25229,51.85955,51.88796,52.02290,51.69208,51.89208,52.07466,51.83160,52.11711,52.20045,51.89960
1.6,empty,51.91318,52.29354,52.10589,52.06886,52.32058,51.97503,51.91647,52.08451,51.72731,51.81219,52.03632,51.77749,52.01029,52.20303,51.91812,52.12864
1.7,empty,52.20428,52.10224,52.02326,52.34316,52.08112,51.95616,52.16113,51.81057,51.77472,52.01632,51.74355,51.89033,52.16488,51.90772,52.09165,52.22656
1.8,empty,52.07766,51.94995,52.31274,52.15732,51.98742,52.23216,51.92692,51.78177,52.02472,51.74738,51.78274,52.10304,51.87635,52.01405,52.25709,51.93385
